PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
KY,f,2015-2017,60-64,0.01063,0.05185,2.61,87151,4519,424946,2001330,22.96
KY,f,2015-2017,65-69,0.01574,0.07589,2.65,82632,6271,398410,1576384,19.08
KY,f,2015-2017,70-74,0.02526,0.11916,2.63,76361,9099,360207,1177974,15.43
KY,f,2015-2017,75-79,0.03966,0.18132,2.64,67262,12196,307530,817767,12.16
KY,f,2015-2017,80-84,0.06195,0.26895,2.55,55066,14810,239075,510236,9.27
KY,f,2015-2017,85-89,0.10311,0.41069,2.52,40256,16533,160338,271161,6.74
KY,f,2015-2017,90-94,0.17911,0.60603,2.33,23723,14377,80272,110823,4.67
KY,f,2015-2017,95-99,0.28275,0.77645,2.1,9346,7257,25665,30551,3.27
KY,f,2015-2017,100-104,0.41547,0.89331,1.81,2089,1866,4492,4886,2.34
KY,f,2015-2017,105-109,0.56213,0.95312,1.53,223,212,378,393,1.76
KY,f,2015-2017,110+,0.68021,1.00000,1.47,10,10,15,15,1.47
