x,n,Year,GEO.display-label,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,"Extract of table downloaded from https://factfinder.census.gov/bkmk/table/1.0/en/PEP/2018/PEPAGESEX/0400000US06.05000 in August 2019, with Internet Explorer"
55,5,2017,est72017sex2_age55to59,55058,51,1549,7513,2125,653,40979,1010,8519,27940,895,4641,5093,782,25109,3597,2644,851,329826,4692,10547,830,3161,7404,370,536,12970,4901,4453,109322,14000,860,73586,51581,1989,67311,105513,24645,22720,9943,26977,13491,61012,9527,6908,148,1789,16130,19319,16869,3143,2480,566,12430,2137,30491,6175,2329,
60,5,2017,est72017sex2_age60to64,49055,42,1678,7940,2394,601,37035,1054,8142,24837,873,5042,4752,759,21420,3014,2847,926,291870,4361,10324,836,3597,6409,378,511,11779,4853,5016,94571,13309,1015,65403,46831,1680,58428,96200,24396,19913,10829,24428,12488,52368,9721,6926,136,2107,15308,19493,14818,2806,2202,691,11091,2534,26670,5658,2126,
65,5,2017,est72017sex2_age65to69,41474,53,1809,7335,2098,502,31528,855,6799,20819,704,4602,3779,623,16975,2520,2432,734,236429,3757,9819,773,3613,5112,361,410,10021,4261,4804,77310,12344,897,56219,38956,1409,45394,79600,22598,16660,9553,20887,10825,42709,8277,6302,163,1906,12501,18024,12478,2263,2030,584,8965,2241,22122,4754,1790,
70,5,2017,est72017sex2_age70to74,29955,35,1448,5508,1686,394,24541,618,5235,15604,535,3084,3008,489,13085,1934,1972,589,178486,2858,8037,602,2595,4043,298,247,7432,3429,3545,61640,10451,685,46901,28680,1003,33148,60480,15946,12717,7223,16007,8442,33549,5839,4995,120,1462,9445,13352,9594,1956,1621,398,7006,1902,17105,3561,1307,
75,5,2017,est72017sex2_age75to79,20188,15,893,3675,1105,281,16331,459,3287,10992,411,1945,2283,366,8990,1498,1234,364,128270,1983,5104,424,1463,2851,202,164,4851,2313,2215,43690,7209,452,33515,19699,667,22438,41441,12041,8766,4766,11598,6137,24729,3446,3417,72,875,6109,8160,6574,1457,1227,282,4920,1271,11926,2354,841,
80,5,2017,est72017sex2_age80to84,14629,12,571,2746,708,177,11287,277,2053,7880,306,1300,1666,270,5902,1043,839,236,95287,1268,3377,258,959,2028,140,90,3695,1665,1340,31880,4985,271,23443,14358,425,15637,30876,9838,6058,3440,8221,4784,17918,2350,2356,62,620,4310,5533,4954,1111,777,183,3474,838,8739,1752,564,
85,5,2017,est72017sex2_age85plus,19482,13,619,3639,660,252,14762,349,2602,10092,326,1764,1833,379,6297,1141,858,321,120940,1367,4943,305,1409,2331,141,92,5239,2281,1923,39065,5884,289,25003,17328,620,16843,39742,13721,7448,4341,11482,6508,22354,3331,2687,51,699,4960,7886,5402,1178,826,167,3879,936,10726,2282,548,
0,5,2018,est72018sex2_age0to4,47210,17,791,6200,939,764,31843,748,4277,37784,952,3487,7314,510,34207,5557,1888,740,293875,5847,5876,347,2584,10339,231,331,15151,3444,2096,91324,10243,453,77786,48704,2045,75972,101583,19371,25923,6388,21110,13452,56210,6768,5149,72,1107,13081,12238,19420,3219,2036,248,17958,1205,24244,6147,2980,
5,5,2018,est72018sex2_age5to9,46714,18,717,6171,963,786,34667,806,4921,39545,995,3523,7038,509,36568,5939,1845,753,295326,5959,6760,394,2522,10998,245,372,15902,3765,2247,91783,11960,381,82724,49282,2100,77702,98164,15672,27830,6716,21323,13707,56958,7239,5174,60,1295,13440,13255,20512,3260,2036,280,20073,1261,26651,6356,3096,
10,5,2018,est72018sex2_age10to14,46423,34,863,6366,1131,822,37854,832,5798,38681,1053,3613,7027,497,36301,5629,1785,681,298121,6102,8048,401,2527,11287,231,385,15662,4118,2456,97822,12797,483,88219,50775,2394,79264,96620,14666,28933,7100,21975,13592,59345,7411,5335,70,1228,13394,14080,20989,3531,2190,290,20213,1256,27841,6479,2857,
15,5,2018,est72018sex2_age15to19,46292,31,786,7744,1050,743,35651,706,5300,35348,919,4463,6531,428,32067,4884,1661,644,309210,5386,7472,354,2400,11706,200,362,15341,4362,2326,100843,11764,441,86997,46306,2130,75573,99155,15931,26893,10443,20031,18463,56013,11407,4982,47,1119,12887,14840,19061,3196,1911,272,18215,1187,27651,11352,2386,
20,5,2018,est72018sex2_age20to24,49790,26,681,12347,963,681,32679,619,4620,34817,873,6416,5892,400,30455,5154,1387,601,348028,5581,5716,372,2203,9807,189,434,14648,4169,2016,103579,9900,347,82329,47510,2026,78770,111876,24538,24784,13660,20048,24244,56610,13862,4762,43,932,13430,13928,18045,2899,1667,237,16408,1145,27912,16326,2456,
25,5,2018,est72018sex2_age25to29,68262,20,876,8015,1020,702,35877,723,4524,39361,884,4765,6181,454,33780,5431,1761,730,420315,6086,4875,480,2365,10201,214,450,14883,4210,2244,117993,10185,445,86047,62096,1983,85823,135857,50089,26656,7536,26546,15190,72609,8467,5819,50,1077,16170,15622,20316,3492,1956,271,16885,1417,28756,8175,3048,
30,5,2018,est72018sex2_age30to34,70591,24,815,6505,1106,685,37145,707,4788,34971,841,4017,5461,514,30443,5035,1826,696,382249,5552,5521,409,2420,8939,237,527,14393,4154,2497,105859,11123,492,80509,59053,2045,76192,126617,49932,25111,7483,28585,12629,73003,7504,5643,66,1103,15650,15499,18943,3208,1813,283,15538,1332,26350,6640,2979,
35,5,2018,est72018sex2_age35to39,66848,14,893,6605,1104,678,40114,787,5519,33061,851,4587,5450,526,28525,4545,1701,685,354908,5652,7140,450,2663,8774,228,469,13932,4346,2839,105033,13288,472,81774,54931,2022,73033,116509,36740,25403,7947,28534,12772,69796,8111,5489,67,1200,14744,16372,18152,3071,1776,328,15367,1390,26821,7016,2700,
40,5,2018,est72018sex2_age40to44,58831,28,756,5743,984,614,39263,636,5305,28884,769,3951,4777,439,25272,3795,1582,610,333701,5192,8048,374,2482,7960,235,386,12555,4249,2566,103277,12627,420,76132,48491,1907,67457,103574,28615,23346,6739,26147,11566,65877,7878,4533,74,987,13052,14646,16529,2799,1678,327,13869,1197,26112,6029,2160,
45,5,2018,est72018sex2_age45to49,57847,27,934,6004,1300,622,41136,668,6085,27925,753,3502,5028,475,24994,3559,1900,697,346820,5008,10099,414,2581,7962,213,430,12336,4604,2704,114684,13603,425,77688,49634,1952,68510,104985,27656,23585,7133,27231,11795,67653,8213,5028,83,1148,13605,15724,16690,2852,1752,304,12930,1303,28202,6044,2098,
50,5,2018,est72018sex2_age50to54,53755,41,1141,6288,1504,620,41333,746,6774,27263,825,3524,5029,519,24302,3604,2082,730,334409,4637,10240,553,2536,7394,276,412,11982,4644,3078,112492,13295,571,74854,48644,2040,66420,102527,25061,22350,7735,26564,11994,63301,8505,5661,85,1257,14565,16556,16451,2936,2008,394,12577,1511,28660,5901,2010,
55,5,2018,est72018sex2_age55to59,55066,47,1487,7456,2040,621,41150,947,8425,28087,910,4526,5049,734,25269,3591,2499,814,330001,4650,10393,753,3052,7378,336,565,12804,4867,4323,110200,14121,845,74628,51548,2033,67634,105564,24704,22861,9715,26912,13433,61391,9300,6786,130,1722,15963,18908,16955,3105,2535,544,12443,2111,30254,6127,2332,
60,5,2018,est72018sex2_age60to64,49651,45,1694,7886,2357,600,37435,1094,8352,25278,869,4905,4807,776,21906,3058,2831,918,297124,4402,10291,838,3481,6568,391,507,12086,4760,4951,96763,13549,1018,67734,47572,1728,59786,97549,24279,20381,10821,24508,12525,53068,9542,7005,148,2067,15483,19123,15099,2876,2189,668,11224,2470,27122,5783,2188,
65,5,2018,est72018sex2_age65to69,41997,57,1817,7551,2129,517,31920,883,7101,21271,705,4762,3897,649,17424,2578,2489,758,240629,3824,9836,781,3629,5233,375,421,10190,4365,4888,78802,12528,898,57598,39933,1441,46838,81178,22798,17033,9925,20951,11126,43398,8521,6348,169,1936,12947,18253,12756,2285,2034,592,9214,2330,22546,4854,1814,
70,5,2018,est72018sex2_age70to74,31655,42,1530,5798,1735,387,25752,619,5462,16394,545,3285,3137,477,13568,2047,2005,639,185836,3013,8284,588,2775,4263,302,254,7873,3539,3811,64059,10986,730,48819,30524,1030,34757,63900,17135,13384,7638,16694,8803,34585,6281,5214,124,1547,10119,14263,10071,1978,1674,416,7286,1958,17853,3766,1407,
75,5,2018,est72018sex2_age75to79,21138,17,968,3866,1161,310,17413,481,3529,11601,429,2045,2363,394,9514,1532,1330,387,133470,2083,5596,464,1615,2915,210,176,5080,2448,2381,46211,7796,453,35721,20873,731,23792,43742,12105,9302,5095,12074,6476,25644,3780,3643,81,940,6599,8882,6950,1575,1270,298,5151,1329,12754,2540,860,
80,5,2018,est72018sex2_age80to84,14982,12,596,2774,758,182,11687,302,2203,8043,299,1330,1688,274,6003,1084,820,228,97039,1333,3522,274,963,2076,137,101,3709,1698,1432,32744,5211,283,24300,14516,473,15964,31268,9996,6183,3509,8446,4854,18480,2365,2437,61,623,4436,5800,5062,1089,825,185,3547,887,8914,1817,616,
85,5,2018,est72018sex2_age85plus,19656,13,613,3595,661,247,14813,336,2604,10070,340,1759,1923,368,6476,1148,850,336,122562,1357,4960,321,1405,2333,141,97,5280,2283,1921,39699,6026,287,25524,17611,614,17166,40247,13654,7566,4335,11558,6529,22761,3376,2665,46,705,5048,7829,5498,1214,823,156,3885,954,11005,2310,551,
