SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,12,1,Florida,Alachua County,5,18,2757,844,1913
50,12,1,Florida,Alachua County,6,0,225862,110390,115472
50,12,1,Florida,Alachua County,6,1,11740,6077,5663
50,12,1,Florida,Alachua County,6,2,11060,5689,5371
50,12,1,Florida,Alachua County,6,3,12604,6492,6112
50,12,1,Florida,Alachua County,6,4,24421,11579,12842
50,12,1,Florida,Alachua County,6,5,43829,21757,22072
50,12,1,Florida,Alachua County,6,6,13262,7182,6080
50,12,1,Florida,Alachua County,6,7,14238,7533,6705
50,12,1,Florida,Alachua County,6,8,12737,6321,6416
50,12,1,Florida,Alachua County,6,9,14061,6829,7232
50,12,1,Florida,Alachua County,6,10,14469,6789,7680
50,12,1,Florida,Alachua County,6,11,13600,6480,7120
50,12,1,Florida,Alachua County,6,12,10476,5132,5344
50,12,1,Florida,Alachua County,6,13,7577,3546,4031
50,12,1,Florida,Alachua County,6,14,5656,2615,3041
50,12,1,Florida,Alachua County,6,15,5116,2304,2812
50,12,1,Florida,Alachua County,6,16,4605,1843,2762
50,12,1,Florida,Alachua County,6,17,3488,1317,2171
50,12,1,Florida,Alachua County,6,18,2923,905,2018
50,12,1,Florida,Alachua County,7,0,228346,111702,116644
50,12,1,Florida,Alachua County,7,1,12158,6270,5888
50,12,1,Florida,Alachua County,7,2,10896,5651,5245
50,12,1,Florida,Alachua County,7,3,12204,6300,5904
50,12,1,Florida,Alachua County,7,4,24655,11690,12965
50,12,1,Florida,Alachua County,7,5,46528,23185,23343
50,12,1,Florida,Alachua County,7,6,11311,6045,5266
50,12,1,Florida,Alachua County,7,7,14589,7867,6722
50,12,1,Florida,Alachua County,7,8,12517,6267,6250
50,12,1,Florida,Alachua County,7,9,14019,6821,7198
50,12,1,Florida,Alachua County,7,10,14420,6789,7631
50,12,1,Florida,Alachua County,7,11,13791,6462,7329
50,12,1,Florida,Alachua County,7,12,11149,5483,5666
50,12,1,Florida,Alachua County,7,13,7887,3706,4181
50,12,1,Florida,Alachua County,7,14,5904,2691,3213
50,12,1,Florida,Alachua County,7,15,5009,2273,2736
50,12,1,Florida,Alachua County,7,16,4646,1904,2742
50,12,1,Florida,Alachua County,7,17,3594,1319,2275
50,12,1,Florida,Alachua County,7,18,3069,979,2090
50,12,1,Florida,Alachua County,8,0,231849,113493,118356
50,12,1,Florida,Alachua County,8,1,12693,6538,6155
50,12,1,Florida,Alachua County,8,2,11096,5671,5425
50,12,1,Florida,Alachua County,8,3,11888,6201,5687
50,12,1,Florida,Alachua County,8,4,24858,11786,13072
50,12,1,Florida,Alachua County,8,5,48797,24228,24569
50,12,1,Florida,Alachua County,8,6,9569,5141,4428
50,12,1,Florida,Alachua County,8,7,15127,8236,6891
50,12,1,Florida,Alachua County,8,8,12511,6349,6162
50,12,1,Florida,Alachua County,8,9,13808,6722,7086
50,12,1,Florida,Alachua County,8,10,14426,6782,7644
50,12,1,Florida,Alachua County,8,11,14050,6611,7439
50,12,1,Florida,Alachua County,8,12,11960,5836,6124
50,12,1,Florida,Alachua County,8,13,8196,3902,4294
50,12,1,Florida,Alachua County,8,14,6127,2776,3351
50,12,1,Florida,Alachua County,8,15,5040,2301,2739
50,12,1,Florida,Alachua County,8,16,4664,1929,2735
50,12,1,Florida,Alachua County,8,17,3744,1404,2340
50,12,1,Florida,Alachua County,8,18,3295,1080,2215
50,12,1,Florida,Alachua County,9,0,237199,116171,121028
50,12,1,Florida,Alachua County,9,1,13031,6671,6360
50,12,1,Florida,Alachua County,9,2,11606,5973,5633
50,12,1,Florida,Alachua County,9,3,11668,6065,5603
50,12,1,Florida,Alachua County,9,4,25018,11903,13115
50,12,1,Florida,Alachua County,9,5,50964,25219,25745
50,12,1,Florida,Alachua County,9,6,10614,5557,5057
50,12,1,Florida,Alachua County,9,7,13856,7656,6200
50,12,1,Florida,Alachua County,9,8,13012,6759,6253
50,12,1,Florida,Alachua County,9,9,13413,6564,6849
50,12,1,Florida,Alachua County,9,10,14642,6967,7675
50,12,1,Florida,Alachua County,9,11,14183,6605,7578
50,12,1,Florida,Alachua County,9,12,12703,6127,6576
50,12,1,Florida,Alachua County,9,13,8677,4169,4508
50,12,1,Florida,Alachua County,9,14,6478,2932,3546
50,12,1,Florida,Alachua County,9,15,5210,2365,2845
50,12,1,Florida,Alachua County,9,16,4750,2007,2743
50,12,1,Florida,Alachua County,9,17,3776,1461,2315
50,12,1,Florida,Alachua County,9,18,3598,1171,2427
50,12,1,Florida,Alachua County,10,0,240196,117675,122521
50,12,1,Florida,Alachua County,10,1,13335,6792,6543
50,12,1,Florida,Alachua County,10,2,11829,6064,5765
50,12,1,Florida,Alachua County,10,3,11489,5978,5511
50,12,1,Florida,Alachua County,10,4,24894,11864,13030
50,12,1,Florida,Alachua County,10,5,51450,25577,25873
50,12,1,Florida,Alachua County,10,6,12772,6472,6300
50,12,1,Florida,Alachua County,10,7,12497,6977,5520
50,12,1,Florida,Alachua County,10,8,13342,7017,6325
50,12,1,Florida,Alachua County,10,9,12939,6329,6610
50,12,1,Florida,Alachua County,10,10,14515,6984,7531
50,12,1,Florida,Alachua County,10,11,14312,6608,7704
50,12,1,Florida,Alachua County,10,12,12974,6194,6780
50,12,1,Florida,Alachua County,10,13,9462,4597,4865
50,12,1,Florida,Alachua County,10,14,6689,3028,3661
50,12,1,Florida,Alachua County,10,15,5270,2418,2852
50,12,1,Florida,Alachua County,10,16,4683,1988,2695
50,12,1,Florida,Alachua County,10,17,3977,1546,2431
50,12,1,Florida,Alachua County,10,18,3767,1242,2525
50,12,1,Florida,Alachua County,11,0,242133,118557,123576
50,12,1,Florida,Alachua County,11,1,13608,6892,6716
50,12,1,Florida,Alachua County,11,2,11977,6205,5772
50,12,1,Florida,Alachua County,11,3,11209,5795,5414
50,12,1,Florida,Alachua County,11,4,24846,11892,12954
50,12,1,Florida,Alachua County,11,5,51186,25321,25865
50,12,1,Florida,Alachua County,11,6,15225,7816,7409
50,12,1,Florida,Alachua County,11,7,10877,6002,4875
50,12,1,Florida,Alachua County,11,8,13340,7031,6309
50,12,1,Florida,Alachua County,11,9,12653,6278,6375
50,12,1,Florida,Alachua County,11,10,14245,6870,7375
50,12,1,Florida,Alachua County,11,11,14404,6682,7722
50,12,1,Florida,Alachua County,11,12,13231,6246,6985
50,12,1,Florida,Alachua County,11,13,9995,4846,5149
50,12,1,Florida,Alachua County,11,14,7168,3293,3875
50,12,1,Florida,Alachua County,11,15,5340,2418,2922
50,12,1,Florida,Alachua County,11,16,4748,2071,2677
50,12,1,Florida,Alachua County,11,17,4095,1606,2489
50,12,1,Florida,Alachua County,11,18,3986,1293,2693
50,12,1,Florida,Alachua County,12,0,243574,119274,124300
50,12,1,Florida,Alachua County,12,1,13815,6969,6846
50,12,1,Florida,Alachua County,12,2,12160,6276,5884
50,12,1,Florida,Alachua County,12,3,11005,5733,5272
50,12,1,Florida,Alachua County,12,4,24584,11759,12825
50,12,1,Florida,Alachua County,12,5,51348,25384,25964
50,12,1,Florida,Alachua County,12,6,17822,9099,8723
50,12,1,Florida,Alachua County,12,7,8660,4750,3910
50,12,1,Florida,Alachua County,12,8,13440,7243,6197
50,12,1,Florida,Alachua County,12,9,12290,6167,6123
50,12,1,Florida,Alachua County,12,10,14065,6795,7270
50,12,1,Florida,Alachua County,12,11,14278,6662,7616
50,12,1,Florida,Alachua County,12,12,13394,6220,7174
50,12,1,Florida,Alachua County,12,13,10549,5140,5409
50,12,1,Florida,Alachua County,12,14,7542,3503,4039
50,12,1,Florida,Alachua County,12,15,5600,2506,3094
50,12,1,Florida,Alachua County,12,16,4681,2057,2624
50,12,1,Florida,Alachua County,12,17,4118,1641,2477
50,12,1,Florida,Alachua County,12,18,4223,1370,2853
50,12,3,Florida,Baker County,1,0,22259,11688,10571
50,12,3,Florida,Baker County,1,1,1561,768,793
50,12,3,Florida,Baker County,1,2,1615,858,757
50,12,3,Florida,Baker County,1,3,1834,929,905
50,12,3,Florida,Baker County,1,4,1824,951,873
50,12,3,Florida,Baker County,1,5,1490,874,616
50,12,3,Florida,Baker County,1,6,1511,833,678
50,12,3,Florida,Baker County,1,7,1635,930,705
50,12,3,Florida,Baker County,1,8,1887,1030,857
50,12,3,Florida,Baker County,1,9,1805,973,832
50,12,3,Florida,Baker County,1,10,1640,893,747
50,12,3,Florida,Baker County,1,11,1428,755,673
50,12,3,Florida,Baker County,1,12,1080,551,529
50,12,3,Florida,Baker County,1,13,899,462,437
50,12,3,Florida,Baker County,1,14,721,355,366
50,12,3,Florida,Baker County,1,15,567,267,300
50,12,3,Florida,Baker County,1,16,343,142,201
50,12,3,Florida,Baker County,1,17,236,64,172
50,12,3,Florida,Baker County,1,18,183,53,130
50,12,3,Florida,Baker County,2,0,22259,11688,10571
50,12,3,Florida,Baker County,2,1,1561,768,793
50,12,3,Florida,Baker County,2,2,1615,858,757
50,12,3,Florida,Baker County,2,3,1834,929,905
50,12,3,Florida,Baker County,2,4,1824,951,873
50,12,3,Florida,Baker County,2,5,1490,874,616
50,12,3,Florida,Baker County,2,6,1511,833,678
50,12,3,Florida,Baker County,2,7,1635,930,705
50,12,3,Florida,Baker County,2,8,1887,1030,857
50,12,3,Florida,Baker County,2,9,1805,973,832
50,12,3,Florida,Baker County,2,10,1640,893,747
50,12,3,Florida,Baker County,2,11,1428,755,673
50,12,3,Florida,Baker County,2,12,1080,551,529
50,12,3,Florida,Baker County,2,13,899,462,437
50,12,3,Florida,Baker County,2,14,721,355,366
50,12,3,Florida,Baker County,2,15,567,267,300
50,12,3,Florida,Baker County,2,16,343,142,201
50,12,3,Florida,Baker County,2,17,236,64,172
50,12,3,Florida,Baker County,2,18,183,53,130
50,12,3,Florida,Baker County,3,0,22373,11745,10628
50,12,3,Florida,Baker County,3,1,1569,772,797
50,12,3,Florida,Baker County,3,2,1615,858,757
50,12,3,Florida,Baker County,3,3,1848,937,911
50,12,3,Florida,Baker County,3,4,1837,959,878
50,12,3,Florida,Baker County,3,5,1508,885,623
50,12,3,Florida,Baker County,3,6,1505,830,675
50,12,3,Florida,Baker County,3,7,1638,931,707
50,12,3,Florida,Baker County,3,8,1888,1031,857
50,12,3,Florida,Baker County,3,9,1816,977,839
50,12,3,Florida,Baker County,3,10,1654,899,755
50,12,3,Florida,Baker County,3,11,1446,763,683
50,12,3,Florida,Baker County,3,12,1087,554,533
50,12,3,Florida,Baker County,3,13,906,466,440
50,12,3,Florida,Baker County,3,14,722,356,366
50,12,3,Florida,Baker County,3,15,567,267,300
50,12,3,Florida,Baker County,3,16,344,142,202
50,12,3,Florida,Baker County,3,17,238,64,174
50,12,3,Florida,Baker County,3,18,185,54,131
50,12,3,Florida,Baker County,4,0,22533,11812,10721
50,12,3,Florida,Baker County,4,1,1610,783,827
50,12,3,Florida,Baker County,4,2,1561,822,739
50,12,3,Florida,Baker County,4,3,1779,904,875
50,12,3,Florida,Baker County,4,4,1806,964,842
50,12,3,Florida,Baker County,4,5,1618,913,705
50,12,3,Florida,Baker County,4,6,1454,808,646
50,12,3,Florida,Baker County,4,7,1639,944,695
50,12,3,Florida,Baker County,4,8,1828,1001,827
