SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,12,1,Florida,Alachua County,1,0,247336,119786,127550
50,12,1,Florida,Alachua County,1,1,13068,6703,6365
50,12,1,Florida,Alachua County,1,2,11739,5913,5826
50,12,1,Florida,Alachua County,1,3,11669,5992,5677
50,12,1,Florida,Alachua County,1,4,23589,10942,12647
50,12,1,Florida,Alachua County,1,5,41515,19979,21536
50,12,1,Florida,Alachua County,1,6,21724,11365,10359
50,12,1,Florida,Alachua County,1,7,15256,7917,7339
50,12,1,Florida,Alachua County,1,8,13043,6566,6477
50,12,1,Florida,Alachua County,1,9,12465,6091,6374
50,12,1,Florida,Alachua County,1,10,14262,6829,7433
50,12,1,Florida,Alachua County,1,11,15208,7034,8174
50,12,1,Florida,Alachua County,1,12,14800,7036,7764
50,12,1,Florida,Alachua County,1,13,12371,5903,6468
50,12,1,Florida,Alachua County,1,14,8593,4156,4437
50,12,1,Florida,Alachua County,1,15,5987,2623,3364
50,12,1,Florida,Alachua County,1,16,4589,2016,2573
50,12,1,Florida,Alachua County,1,17,3786,1476,2310
50,12,1,Florida,Alachua County,1,18,3672,1245,2427
50,12,1,Florida,Alachua County,2,0,247337,119786,127551
50,12,1,Florida,Alachua County,2,1,13068,6703,6365
50,12,1,Florida,Alachua County,2,2,11739,5913,5826
50,12,1,Florida,Alachua County,2,3,11669,5992,5677
50,12,1,Florida,Alachua County,2,4,23589,10942,12647
50,12,1,Florida,Alachua County,2,5,41515,19979,21536
50,12,1,Florida,Alachua County,2,6,21724,11365,10359
50,12,1,Florida,Alachua County,2,7,15256,7917,7339
50,12,1,Florida,Alachua County,2,8,13043,6566,6477
50,12,1,Florida,Alachua County,2,9,12465,6091,6374
50,12,1,Florida,Alachua County,2,10,14261,6828,7433
50,12,1,Florida,Alachua County,2,11,15208,7034,8174
50,12,1,Florida,Alachua County,2,12,14800,7036,7764
50,12,1,Florida,Alachua County,2,13,12373,5904,6469
50,12,1,Florida,Alachua County,2,14,8593,4156,4437
50,12,1,Florida,Alachua County,2,15,5987,2623,3364
50,12,1,Florida,Alachua County,2,16,4589,2016,2573
50,12,1,Florida,Alachua County,2,17,3786,1476,2310
50,12,1,Florida,Alachua County,2,18,3672,1245,2427
50,12,1,Florida,Alachua County,3,0,247614,119953,127661
50,12,1,Florida,Alachua County,3,1,13119,6733,6386
50,12,1,Florida,Alachua County,3,2,11730,5914,5816
50,12,1,Florida,Alachua County,3,3,11708,5995,5713
50,12,1,Florida,Alachua County,3,4,23126,10809,12317
50,12,1,Florida,Alachua County,3,5,42004,20175,21829
50,12,1,Florida,Alachua County,3,6,21650,11337,10313
50,12,1,Florida,Alachua County,3,7,15353,7961,7392
50,12,1,Florida,Alachua County,3,8,13004,6542,6462
50,12,1,Florida,Alachua County,3,9,12493,6126,6367
50,12,1,Florida,Alachua County,3,10,14105,6746,7359
50,12,1,Florida,Alachua County,3,11,15160,7021,8139
50,12,1,Florida,Alachua County,3,12,14789,7009,7780
50,12,1,Florida,Alachua County,3,13,12514,5961,6553
50,12,1,Florida,Alachua County,3,14,8704,4208,4496
50,12,1,Florida,Alachua County,3,15,6040,2658,3382
50,12,1,Florida,Alachua County,3,16,4601,1996,2605
50,12,1,Florida,Alachua County,3,17,3794,1495,2299
50,12,1,Florida,Alachua County,3,18,3720,1267,2453
50,12,1,Florida,Alachua County,4,0,249834,120911,128923
50,12,1,Florida,Alachua County,4,1,13496,6994,6502
50,12,1,Florida,Alachua County,4,2,11832,5957,5875
50,12,1,Florida,Alachua County,4,3,11903,6057,5846
50,12,1,Florida,Alachua County,4,4,21564,10251,11313
