SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE
50,12,1,Florida,Alachua County,5,14,5934,2775,3159
50,12,1,Florida,Alachua County,5,15,5161,2280,2881
50,12,1,Florida,Alachua County,5,16,4515,1792,2723
50,12,1,Florida,Alachua County,5,17,3340,1263,2077
50,12,1,Florida,Alachua County,5,18,2727,850,1877
50,12,1,Florida,Alachua County,5,99,227022,110470,116552
50,12,1,Florida,Alachua County,6,0,2487,1316,1171
50,12,1,Florida,Alachua County,6,1,9208,4703,4505
50,12,1,Florida,Alachua County,6,2,10724,5505,5219
50,12,1,Florida,Alachua County,6,3,12401,6380,6021
50,12,1,Florida,Alachua County,6,4,24122,11202,12920
50,12,1,Florida,Alachua County,6,5,43723,21528,22195
50,12,1,Florida,Alachua County,6,6,15826,8444,7382
50,12,1,Florida,Alachua County,6,7,14550,7628,6922
50,12,1,Florida,Alachua County,6,8,12423,6127,6296
50,12,1,Florida,Alachua County,6,9,14020,6781,7239
50,12,1,Florida,Alachua County,6,10,14519,6834,7685
50,12,1,Florida,Alachua County,6,11,14039,6550,7489
50,12,1,Florida,Alachua County,6,12,11506,5726,5780
50,12,1,Florida,Alachua County,6,13,8248,3849,4399
50,12,1,Florida,Alachua County,6,14,6268,2902,3366
50,12,1,Florida,Alachua County,6,15,5063,2263,2800
50,12,1,Florida,Alachua County,6,16,4527,1834,2693
50,12,1,Florida,Alachua County,6,17,3406,1233,2173
50,12,1,Florida,Alachua County,6,18,2807,898,1909
50,12,1,Florida,Alachua County,6,99,229867,111703,118164
50,12,1,Florida,Alachua County,7,0,2660,1344,1316
50,12,1,Florida,Alachua County,7,1,9445,4890,4555
50,12,1,Florida,Alachua County,7,2,10850,5567,5283
50,12,1,Florida,Alachua County,7,3,12151,6303,5848
50,12,1,Florida,Alachua County,7,4,24302,11259,13043
50,12,1,Florida,Alachua County,7,5,43970,21509,22461
50,12,1,Florida,Alachua County,7,6,16478,8702,7776
50,12,1,Florida,Alachua County,7,7,14806,7792,7014
50,12,1,Florida,Alachua County,7,8,12431,6086,6345
50,12,1,Florida,Alachua County,7,9,13825,6652,7173
50,12,1,Florida,Alachua County,7,10,14592,6855,7737
50,12,1,Florida,Alachua County,7,11,14384,6745,7639
50,12,1,Florida,Alachua County,7,12,12452,6158,6294
50,12,1,Florida,Alachua County,7,13,8690,4102,4588
50,12,1,Florida,Alachua County,7,14,6549,3057,3492
50,12,1,Florida,Alachua County,7,15,5119,2276,2843
50,12,1,Florida,Alachua County,7,16,4555,1877,2678
50,12,1,Florida,Alachua County,7,17,3529,1297,2232
50,12,1,Florida,Alachua County,7,18,2968,996,1972
50,12,1,Florida,Alachua County,7,99,233756,113467,120289
50,12,1,Florida,Alachua County,8,0,2636,1363,1273
50,12,1,Florida,Alachua County,8,1,9771,4991,4780
50,12,1,Florida,Alachua County,8,2,11271,5737,5534
50,12,1,Florida,Alachua County,8,3,12038,6330,5708
50,12,1,Florida,Alachua County,8,4,24490,11331,13159
50,12,1,Florida,Alachua County,8,5,44132,21507,22625
50,12,1,Florida,Alachua County,8,6,18060,9422,8638
50,12,1,Florida,Alachua County,8,7,14669,7780,6889
50,12,1,Florida,Alachua County,8,8,12928,6442,6486
50,12,1,Florida,Alachua County,8,9,13557,6493,7064
50,12,1,Florida,Alachua County,8,10,14932,7091,7841
50,12,1,Florida,Alachua County,8,11,14688,6826,7862
50,12,1,Florida,Alachua County,8,12,13379,6563,6816
50,12,1,Florida,Alachua County,8,13,9290,4430,4860
50,12,1,Florida,Alachua County,8,14,6949,3235,3714
50,12,1,Florida,Alachua County,8,15,5331,2371,2960
50,12,1,Florida,Alachua County,8,16,4620,1939,2681
50,12,1,Florida,Alachua County,8,17,3571,1338,2233
50,12,1,Florida,Alachua County,8,18,3194,1077,2117
50,12,1,Florida,Alachua County,8,99,239506,116266,123240
50,12,1,Florida,Alachua County,9,0,2786,1423,1363
50,12,1,Florida,Alachua County,9,1,9853,5036,4817
50,12,1,Florida,Alachua County,9,2,11430,5801,5629
50,12,1,Florida,Alachua County,9,3,11925,6180,5745
50,12,1,Florida,Alachua County,9,4,24398,11363,13035
50,12,1,Florida,Alachua County,9,5,43610,21272,22338
50,12,1,Florida,Alachua County,9,6,19640,10227,9413
50,12,1,Florida,Alachua County,9,7,14616,7677,6939
50,12,1,Florida,Alachua County,9,8,13149,6621,6528
50,12,1,Florida,Alachua County,9,9,13194,6310,6884
50,12,1,Florida,Alachua County,9,10,14857,7099,7758
50,12,1,Florida,Alachua County,9,11,14953,6908,8045
50,12,1,Florida,Alachua County,9,12,13822,6704,7118
50,12,1,Florida,Alachua County,9,13,10229,4921,5308
50,12,1,Florida,Alachua County,9,14,7195,3360,3835
50,12,1,Florida,Alachua County,9,15,5432,2411,3021
50,12,1,Florida,Alachua County,9,16,4566,1948,2618
50,12,1,Florida,Alachua County,9,17,3730,1416,2314
50,12,1,Florida,Alachua County,9,18,3300,1128,2172
50,12,1,Florida,Alachua County,9,99,242685,117805,124880
50,12,1,Florida,Alachua County,10,0,2843,1465,1378
50,12,1,Florida,Alachua County,10,1,10034,5133,4901
50,12,1,Florida,Alachua County,10,2,11528,5844,5684
50,12,1,Florida,Alachua County,10,3,11783,6083,5700
50,12,1,Florida,Alachua County,10,4,24357,11318,13039
50,12,1,Florida,Alachua County,10,5,42725,20661,22064
50,12,1,Florida,Alachua County,10,6,20622,10900,9722
50,12,1,Florida,Alachua County,10,7,14852,7721,7131
50,12,1,Florida,Alachua County,10,8,13095,6542,6553
50,12,1,Florida,Alachua County,10,9,12963,6286,6677
50,12,1,Florida,Alachua County,10,10,14707,7064,7643
50,12,1,Florida,Alachua County,10,11,15127,7013,8114
50,12,1,Florida,Alachua County,10,12,14201,6827,7374
50,12,1,Florida,Alachua County,10,13,10944,5217,5727
50,12,1,Florida,Alachua County,10,14,7757,3685,4072
50,12,1,Florida,Alachua County,10,15,5526,2435,3091
50,12,1,Florida,Alachua County,10,16,4616,1990,2626
50,12,1,Florida,Alachua County,10,17,3810,1465,2345
50,12,1,Florida,Alachua County,10,18,3398,1127,2271
50,12,1,Florida,Alachua County,10,99,244888,118776,126112
50,12,1,Florida,Alachua County,11,0,2846,1522,1324
50,12,1,Florida,Alachua County,11,1,10331,5222,5109
50,12,1,Florida,Alachua County,11,2,11574,5809,5765
50,12,1,Florida,Alachua County,11,3,11621,5991,5630
50,12,1,Florida,Alachua County,11,4,24186,11254,12932
50,12,1,Florida,Alachua County,11,5,42244,20383,21861
50,12,1,Florida,Alachua County,11,6,21370,11235,10135
50,12,1,Florida,Alachua County,11,7,15012,7760,7252
50,12,1,Florida,Alachua County,11,8,13000,6555,6445
50,12,1,Florida,Alachua County,11,9,12548,6140,6408
50,12,1,Florida,Alachua County,11,10,14597,6990,7607
50,12,1,Florida,Alachua County,11,11,15203,7073,8130
50,12,1,Florida,Alachua County,11,12,14471,6867,7604
50,12,1,Florida,Alachua County,11,13,11658,5596,6062
50,12,1,Florida,Alachua County,11,14,8263,3948,4315
50,12,1,Florida,Alachua County,11,15,5796,2525,3271
50,12,1,Florida,Alachua County,11,16,4575,1995,2580
50,12,1,Florida,Alachua County,11,17,3819,1503,2316
50,12,1,Florida,Alachua County,11,18,3543,1180,2363
50,12,1,Florida,Alachua County,11,99,246657,119548,127109
50,12,1,Florida,Alachua County,12,0,2747,1443,1304
50,12,1,Florida,Alachua County,12,1,10321,5260,5061
50,12,1,Florida,Alachua County,12,2,11739,5913,5826
50,12,1,Florida,Alachua County,12,3,11669,5992,5677
50,12,1,Florida,Alachua County,12,4,23589,10942,12647
50,12,1,Florida,Alachua County,12,5,41515,19979,21536
50,12,1,Florida,Alachua County,12,6,21724,11365,10359
50,12,1,Florida,Alachua County,12,7,15256,7917,7339
50,12,1,Florida,Alachua County,12,8,13043,6566,6477
50,12,1,Florida,Alachua County,12,9,12465,6091,6374
50,12,1,Florida,Alachua County,12,10,14262,6829,7433
50,12,1,Florida,Alachua County,12,11,15208,7034,8174
50,12,1,Florida,Alachua County,12,12,14800,7036,7764
50,12,1,Florida,Alachua County,12,13,12371,5903,6468
50,12,1,Florida,Alachua County,12,14,8593,4156,4437
50,12,1,Florida,Alachua County,12,15,5987,2623,3364
50,12,1,Florida,Alachua County,12,16,4589,2016,2573
50,12,1,Florida,Alachua County,12,17,3786,1476,2310
50,12,1,Florida,Alachua County,12,18,3672,1245,2427
50,12,1,Florida,Alachua County,12,99,247336,119786,127550
50,12,1,Florida,Alachua County,13,0,2750,1447,1303
50,12,1,Florida,Alachua County,13,1,10309,5262,5047
50,12,1,Florida,Alachua County,13,2,11736,5915,5821
50,12,1,Florida,Alachua County,13,3,11668,5989,5679
50,12,1,Florida,Alachua County,13,4,23443,10880,12563
50,12,1,Florida,Alachua County,13,5,41574,20008,21566
50,12,1,Florida,Alachua County,13,6,21735,11392,10343
50,12,1,Florida,Alachua County,13,7,15343,7960,7383
50,12,1,Florida,Alachua County,13,8,12941,6513,6428
50,12,1,Florida,Alachua County,13,9,12457,6091,6366
50,12,1,Florida,Alachua County,13,10,14211,6803,7408
50,12,1,Florida,Alachua County,13,11,15230,7043,8187
50,12,1,Florida,Alachua County,13,12,14862,7065,7797
50,12,1,Florida,Alachua County,13,13,12488,5959,6529
50,12,1,Florida,Alachua County,13,14,8629,4179,4450
50,12,1,Florida,Alachua County,13,15,6022,2644,3378
50,12,1,Florida,Alachua County,13,16,4597,2022,2575
50,12,1,Florida,Alachua County,13,17,3803,1487,2316
50,12,1,Florida,Alachua County,13,18,3699,1258,2441
50,12,1,Florida,Alachua County,13,99,247497,119917,127580
50,12,3,Florida,Baker County,1,0,365,185,180
50,12,3,Florida,Baker County,1,1,1196,583,613
50,12,3,Florida,Baker County,1,2,1615,858,757
50,12,3,Florida,Baker County,1,3,1834,929,905
50,12,3,Florida,Baker County,1,4,1824,951,873
50,12,3,Florida,Baker County,1,5,1490,874,616
50,12,3,Florida,Baker County,1,6,1511,833,678
50,12,3,Florida,Baker County,1,7,1635,930,705
50,12,3,Florida,Baker County,1,8,1885,1028,857
50,12,3,Florida,Baker County,1,9,1805,973,832
50,12,3,Florida,Baker County,1,10,1640,893,747
50,12,3,Florida,Baker County,1,11,1428,755,673
50,12,3,Florida,Baker County,1,12,1079,551,528
50,12,3,Florida,Baker County,1,13,899,462,437
50,12,3,Florida,Baker County,1,14,721,355,366
50,12,3,Florida,Baker County,1,15,567,267,300
50,12,3,Florida,Baker County,1,16,342,142,200
50,12,3,Florida,Baker County,1,17,236,64,172
50,12,3,Florida,Baker County,1,18,183,53,130
50,12,3,Florida,Baker County,1,99,22255,11686,10569
50,12,3,Florida,Baker County,2,0,370,187,183
50,12,3,Florida,Baker County,2,1,1200,585,615
50,12,3,Florida,Baker County,2,2,1617,860,757
50,12,3,Florida,Baker County,2,3,1850,940,910
50,12,3,Florida,Baker County,2,4,1839,959,880
50,12,3,Florida,Baker County,2,5,1508,883,625
50,12,3,Florida,Baker County,2,6,1504,829,675
50,12,3,Florida,Baker County,2,7,1638,931,707
50,12,3,Florida,Baker County,2,8,1884,1026,858
50,12,3,Florida,Baker County,2,9,1817,977,840
50,12,3,Florida,Baker County,2,10,1654,899,755
50,12,3,Florida,Baker County,2,11,1447,763,684
50,12,3,Florida,Baker County,2,12,1086,554,532
50,12,3,Florida,Baker County,2,13,905,465,440
50,12,3,Florida,Baker County,2,14,722,356,366
50,12,3,Florida,Baker County,2,15,568,268,300
50,12,3,Florida,Baker County,2,16,343,142,201
50,12,3,Florida,Baker County,2,17,238,64,174
50,12,3,Florida,Baker County,2,18,184,54,130
50,12,3,Florida,Baker County,2,99,22374,11742,10632
50,12,3,Florida,Baker County,3,0,339,154,185
50,12,3,Florida,Baker County,3,1,1266,638,628
50,12,3,Florida,Baker County,3,2,1583,832,751
50,12,3,Florida,Baker County,3,3,1794,919,875
50,12,3,Florida,Baker County,3,4,1818,965,853
50,12,3,Florida,Baker County,3,5,1609,892,717
50,12,3,Florida,Baker County,3,6,1466,827,639
50,12,3,Florida,Baker County,3,7,1630,932,698
50,12,3,Florida,Baker County,3,8,1827,1007,820
50,12,3,Florida,Baker County,3,9,1886,1018,868
50,12,3,Florida,Baker County,3,10,1720,927,793
50,12,3,Florida,Baker County,3,11,1502,805,697
50,12,3,Florida,Baker County,3,12,1145,570,575
50,12,3,Florida,Baker County,3,13,931,474,457
50,12,3,Florida,Baker County,3,14,756,384,372
50,12,3,Florida,Baker County,3,15,548,258,290
50,12,3,Florida,Baker County,3,16,376,165,211
50,12,3,Florida,Baker County,3,17,242,61,181
50,12,3,Florida,Baker County,3,18,182,58,124
50,12,3,Florida,Baker County,3,99,22620,11886,10734
50,12,3,Florida,Baker County,4,0,346,182,164
50,12,3,Florida,Baker County,4,1,1371,688,683
50,12,3,Florida,Baker County,4,2,1610,834,776
50,12,3,Florida,Baker County,4,3,1787,945,842
50,12,3,Florida,Baker County,4,4,1848,966,882
50,12,3,Florida,Baker County,4,5,1726,932,794
50,12,3,Florida,Baker County,4,6,1491,847,644
50,12,3,Florida,Baker County,4,7,1709,946,763
50,12,3,Florida,Baker County,4,8,1762,979,783
50,12,3,Florida,Baker County,4,9,1943,1051,892
50,12,3,Florida,Baker County,4,10,1750,947,803
50,12,3,Florida,Baker County,4,11,1569,818,751
50,12,3,Florida,Baker County,4,12,1238,635,603
50,12,3,Florida,Baker County,4,13,978,482,496
50,12,3,Florida,Baker County,4,14,793,392,401
50,12,3,Florida,Baker County,4,15,545,278,267
50,12,3,Florida,Baker County,4,16,421,174,247
50,12,3,Florida,Baker County,4,17,221,65,156
50,12,3,Florida,Baker County,4,18,190,59,131
50,12,3,Florida,Baker County,4,99,23298,12220,11078
50,12,3,Florida,Baker County,5,0,338,182,156
50,12,3,Florida,Baker County,5,1,1403,719,684
50,12,3,Florida,Baker County,5,2,1562,790,772
50,12,3,Florida,Baker County,5,3,1823,974,849
50,12,3,Florida,Baker County,5,4,1797,923,874
50,12,3,Florida,Baker County,5,5,1689,940,749
50,12,3,Florida,Baker County,5,6,1530,863,667
50,12,3,Florida,Baker County,5,7,1712,925,787
50,12,3,Florida,Baker County,5,8,1764,1015,749
50,12,3,Florida,Baker County,5,9,1946,1051,895
50,12,3,Florida,Baker County,5,10,1804,982,822
50,12,3,Florida,Baker County,5,11,1612,846,766
50,12,3,Florida,Baker County,5,12,1322,683,639
50,12,3,Florida,Baker County,5,13,1018,493,525
50,12,3,Florida,Baker County,5,14,843,427,416
50,12,3,Florida,Baker County,5,15,534,277,257
50,12,3,Florida,Baker County,5,16,423,171,252
50,12,3,Florida,Baker County,5,17,244,74,170
50,12,3,Florida,Baker County,5,18,191,55,136
50,12,3,Florida,Baker County,5,99,23555,12390,11165
50,12,3,Florida,Baker County,6,0,366,174,192
50,12,3,Florida,Baker County,6,1,1442,752,690
50,12,3,Florida,Baker County,6,2,1613,801,812
50,12,3,Florida,Baker County,6,3,1825,982,843
50,12,3,Florida,Baker County,6,4,1845,967,878
50,12,3,Florida,Baker County,6,5,1775,987,788
50,12,3,Florida,Baker County,6,6,1531,874,657
50,12,3,Florida,Baker County,6,7,1727,966,761
50,12,3,Florida,Baker County,6,8,1771,1018,753
50,12,3,Florida,Baker County,6,9,1996,1069,927
