PopName,Year,Age,ax_Female,lx_Female,ex_Female,ax_Male,lx_Male,ex_Male,ax_Both,lx_Both,ex_Both
KY,2010-2014,71,0.5,75954,14.74,0.5,64747,12.49,0.5,70294,13.74
KY,2010-2014,72,0.5,74261,14.06,0.5,62698,11.88,0.5,68422,13.11
KY,2010-2014,73,0.5,72455,13.4,0.5,60419,11.31,0.5,66380,12.49
KY,2010-2014,74,0.5,70555,12.74,0.5,58101,10.74,0.5,64273,11.89
KY,2010-2014,75,0.5,68554,12.1,0.5,55656,10.19,0.5,62051,11.29
KY,2010-2014,76,0.5,66366,11.48,0.5,53113,9.66,0.5,59687,10.72
KY,2010-2014,77,0.5,64073,10.88,0.5,50435,9.14,0.5,57207,10.17
KY,2010-2014,78,0.5,61700,10.28,0.5,47686,8.64,0.5,54653,9.62
KY,2010-2014,79,0.5,59223,9.69,0.5,44918,8.14,0.5,52039,9.07
KY,2010-2014,80,0.5,56530,9.12,0.5,42011,7.67,0.5,49252,8.56
KY,2010-2014,81,0.5,53663,8.58,0.5,39223,7.18,0.5,46436,8.05
KY,2010-2014,82,0.5,50771,8.04,0.5,36291,6.72,0.5,43543,7.55
KY,2010-2014,83,0.5,47745,7.52,0.5,33259,6.29,0.5,40537,7.07
KY,2010-2014,84,0.5,44530,7.03,0.5,30119,5.9,0.5,37382,6.63
KY,2010-2014,85,0.5,41336,6.53,0.5,27133,5.49,0.5,34317,6.18
KY,2010-2014,86,0.5,37825,6.09,0.5,24206,5.09,0.5,31115,5.76
KY,2010-2014,87,0.5,34274,5.67,0.5,21194,4.74,0.5,27856,5.37
KY,2010-2014,88,0.5,30669,5.28,0.5,18305,4.41,0.5,24628,5.01
KY,2010-2014,89,0.5,27133,4.91,0.5,15507,4.12,0.5,21485,4.67
KY,2010-2014,90,0.5,23552,4.58,0.5,13011,3.82,0.5,18455,4.36
KY,2010-2014,91,0.5,20221,4.25,0.5,10594,3.57,0.5,15598,4.07
KY,2010-2014,92,0.5,17087,3.93,0.5,8519,3.32,0.5,13000,3.78
KY,2010-2014,93,0.5,14114,3.66,0.5,6676,3.1,0.5,10600,3.52
KY,2010-2014,94,0.5,11420,3.4,0.5,5110,2.89,0.5,8465,3.28
KY,2010-2014,95,0.5,9038,3.17,0.5,3814,2.71,0.5,6610,3.06
KY,2010-2014,96,0.5,6985,2.95,0.5,2773,2.54,0.5,5040,2.86
KY,2010-2014,97,0.5,5262,2.76,0.5,1960,2.38,0.5,3746,2.68
KY,2010-2014,98,0.5,3859,2.58,0.5,1346,2.24,0.5,2711,2.51
KY,2010-2014,99,0.5,2751,2.41,0.5,897,2.11,0.5,1907,2.35
KY,2010-2014,100,0.5,1904,2.26,0.5,579,1.99,0.5,1303,2.21
KY,2010-2014,101,0.5,1277,2.13,0.5,362,1.89,0.5,863,2.09
KY,2010-2014,102,0.5,830,2.01,0.5,219,1.8,0.5,554,1.97
KY,2010-2014,103,0.5,522,1.9,0.5,129,1.71,0.5,344,1.87
KY,2010-2014,104,0.5,317,1.8,0.5,73,1.63,0.5,207,1.77
KY,2010-2014,105,0.5,186,1.71,0.5,40,1.56,0.5,120,1.69
KY,2010-2014,106,0.5,106,1.63,0.5,21,1.5,0.5,68,1.62
KY,2010-2014,107,0.5,58,1.57,0.5,11,1.45,0.5,37,1.55
KY,2010-2014,108,0.5,31,1.51,0.5,5,1.4,0.5,19,1.49
KY,2010-2014,109,0.5,16,1.46,0.5,3,1.37,0.5,10,1.45
KY,2010-2014,110+,1.43,8,1.43,1.34,1,1.34,1.42,5,1.42
